Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Last 5
1,Liverpool,29,21,7,1,69,27,42,70,W D W W W
2,Arsenal,29,16,10,3,53,24,29,58,W L D D W
3,Nott'ham Forest,29,16,6,7,49,35,14,54,L L D W W
4,Chelsea,29,14,7,8,53,37,16,49,L L W W L
5,Manchester City,29,14,6,9,55,40,15,48,W L W L D
6,Newcastle Utd,28,14,5,9,47,38,9,47,L L W L W
7,Brighton,29,12,11,6,48,42,6,47,W W W W D
8,Fulham,29,12,9,8,43,38,5,45,W L W L W
9,Aston Villa,29,12,9,8,41,45,-4,45,D D W L W
10,Bournemouth,29,12,8,9,48,36,12,44,W L L D L
11,Brentford,29,12,5,12,50,45,5,41,W W D L W
12,Crystal Palace,28,10,9,9,36,33,3,39,W L W W W
13,Manchester Utd,29,10,7,12,37,40,-3,37,L D W D W
14,Tottenham,29,10,4,15,55,43,12,34,W W L D L
15,Everton,29,7,13,9,32,36,-4,34,W D D D D
16,West Ham,29,9,7,13,33,49,-16,34,L W W L D
17,Wolves,29,7,5,17,40,58,-18,26,L W L D W
18,Ipswich Town,29,3,8,18,28,62,-34,17,D L L L L
19,Leicester City,29,4,5,20,25,65,-40,17,L L L L L
20,Southampton,29,2,3,24,21,70,-49,9,L L L L L
